"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5452","TC-019 Performance glitch user - Login with smart wait","chromium","Thu Mar 26 15:16:15 UTC 2026","passed","Thu Mar 26 15:16:20 UTC 2026","Performance & Resilience Scenarios","performance.spec.js","",""
"","1351","TC-006 Logout behaviour","chromium","Thu Mar 26 15:16:04 UTC 2026","passed","Thu Mar 26 15:16:06 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","660","TC-001 Successful login with valid credentials","chromium","Thu Mar 26 15:16:01 UTC 2026","passed","Thu Mar 26 15:16:02 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","530","TC-014 Remove an item from the cart and verify cart state","chromium","Thu Mar 26 15:16:08 UTC 2026","passed","Thu Mar 26 15:16:08 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","420","TC-004 Login failure with SQL injection attempt","chromium","Thu Mar 26 15:16:03 UTC 2026","passed","Thu Mar 26 15:16:04 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","609","TC-013 Add multiple items and verify all appear in cart","chromium","Thu Mar 26 15:16:07 UTC 2026","passed","Thu Mar 26 15:16:08 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","574","TC-020 Error user - Verify failing actions","chromium","Thu Mar 26 15:16:20 UTC 2026","passed","Thu Mar 26 15:16:21 UTC 2026","Performance & Resilience Scenarios","performance.spec.js","",""
"","386","TC-003 Login failure with empty fields","chromium","Thu Mar 26 15:16:03 UTC 2026","passed","Thu Mar 26 15:16:03 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","503","TC-012 Add a single item and verify cart badge updates","chromium","Thu Mar 26 15:16:07 UTC 2026","passed","Thu Mar 26 15:16:07 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","1042","TC-007 Session persistence check","chromium","Thu Mar 26 15:16:06 UTC 2026","passed","Thu Mar 26 15:16:07 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","480","TC-008 Product listing loads correctly","chromium","Thu Mar 26 15:16:09 UTC 2026","passed","Thu Mar 26 15:16:10 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","398","TC-005 Locked-out user behaviour","chromium","Thu Mar 26 15:16:04 UTC 2026","passed","Thu Mar 26 15:16:04 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","1451","TC-011 Problem user visual regression - Detect broken images","chromium","Thu Mar 26 15:16:11 UTC 2026","passed","Thu Mar 26 15:16:12 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","515","TC-009 Sorting by Name A-Z and Z-A","chromium","Thu Mar 26 15:16:10 UTC 2026","passed","Thu Mar 26 15:16:11 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","400","TC-002 Login failure with invalid credentials","chromium","Thu Mar 26 15:16:03 UTC 2026","passed","Thu Mar 26 15:16:03 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","505","TC-010 Sorting by Price Low-High and High-Low","chromium","Thu Mar 26 15:16:11 UTC 2026","passed","Thu Mar 26 15:16:11 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","883","TC-017 Checkout blocked when required fields are missing","chromium","Thu Mar 26 15:16:13 UTC 2026","passed","Thu Mar 26 15:16:14 UTC 2026","Checkout Flow Scenarios","checkout.spec.js","",""
"","1116","TC-015 Cart persists across page navigation","chromium","Thu Mar 26 15:16:08 UTC 2026","passed","Thu Mar 26 15:16:09 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","697","TC-016 Complete a full purchase with valid details","chromium","Thu Mar 26 15:16:13 UTC 2026","passed","Thu Mar 26 15:16:13 UTC 2026","Checkout Flow Scenarios","checkout.spec.js","",""
"","639","TC-018 Verify order summary math for multiple items","chromium","Thu Mar 26 15:16:14 UTC 2026","passed","Thu Mar 26 15:16:15 UTC 2026","Checkout Flow Scenarios","checkout.spec.js","",""
