"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1403","TC-006 Logout behaviour","chromium","Thu Mar 26 15:06:08 UTC 2026","passed","Thu Mar 26 15:06:09 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","553","TC-009 Sorting by Name A-Z and Z-A","chromium","Thu Mar 26 15:06:15 UTC 2026","passed","Thu Mar 26 15:06:15 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","446","TC-002 Login failure with invalid credentials","chromium","Thu Mar 26 15:06:06 UTC 2026","passed","Thu Mar 26 15:06:07 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","573","TC-012 Add a single item and verify cart badge updates","chromium","Thu Mar 26 15:06:11 UTC 2026","passed","Thu Mar 26 15:06:11 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","672","TC-013 Add multiple items and verify all appear in cart","chromium","Thu Mar 26 15:06:11 UTC 2026","passed","Thu Mar 26 15:06:12 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","6055","TC-019 Performance glitch user - Login with smart wait","chromium","Thu Mar 26 15:06:20 UTC 2026","passed","Thu Mar 26 15:06:26 UTC 2026","Performance & Resilience Scenarios","performance.spec.js","",""
"","457","TC-005 Locked-out user behaviour","chromium","Thu Mar 26 15:06:07 UTC 2026","passed","Thu Mar 26 15:06:08 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","1220","TC-007 Session persistence check","chromium","Thu Mar 26 15:06:09 UTC 2026","passed","Thu Mar 26 15:06:11 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","576","TC-020 Error user - Verify failing actions","chromium","Thu Mar 26 15:06:26 UTC 2026","passed","Thu Mar 26 15:06:27 UTC 2026","Performance & Resilience Scenarios","performance.spec.js","",""
"","729","TC-016 Complete a full purchase with valid details","chromium","Thu Mar 26 15:06:17 UTC 2026","passed","Thu Mar 26 15:06:18 UTC 2026","Checkout Flow Scenarios","checkout.spec.js","",""
"","1533","TC-011 Problem user visual regression - Detect broken images","chromium","Thu Mar 26 15:06:16 UTC 2026","passed","Thu Mar 26 15:06:17 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","1215","TC-017 Checkout blocked when required fields are missing","chromium","Thu Mar 26 15:06:18 UTC 2026","passed","Thu Mar 26 15:06:19 UTC 2026","Checkout Flow Scenarios","checkout.spec.js","",""
"","454","TC-004 Login failure with SQL injection attempt","chromium","Thu Mar 26 15:06:07 UTC 2026","passed","Thu Mar 26 15:06:07 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","1470","TC-015 Cart persists across page navigation","chromium","Thu Mar 26 15:06:13 UTC 2026","passed","Thu Mar 26 15:06:14 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","765","TC-018 Verify order summary math for multiple items","chromium","Thu Mar 26 15:06:19 UTC 2026","passed","Thu Mar 26 15:06:20 UTC 2026","Checkout Flow Scenarios","checkout.spec.js","",""
"","748","TC-001 Successful login with valid credentials","chromium","Thu Mar 26 15:06:05 UTC 2026","passed","Thu Mar 26 15:06:05 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","556","TC-008 Product listing loads correctly","chromium","Thu Mar 26 15:06:14 UTC 2026","passed","Thu Mar 26 15:06:15 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","468","TC-003 Login failure with empty fields","chromium","Thu Mar 26 15:06:07 UTC 2026","passed","Thu Mar 26 15:06:07 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","583","TC-014 Remove an item from the cart and verify cart state","chromium","Thu Mar 26 15:06:12 UTC 2026","passed","Thu Mar 26 15:06:12 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","587","TC-010 Sorting by Price Low-High and High-Low","chromium","Thu Mar 26 15:06:15 UTC 2026","passed","Thu Mar 26 15:06:16 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
