"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1166","TC-015 Cart persists across page navigation","chromium","Wed Mar 25 20:44:52 UTC 2026","passed","Wed Mar 25 20:44:53 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","412","TC-002 Login failure with invalid credentials","chromium","Wed Mar 25 20:44:46 UTC 2026","passed","Wed Mar 25 20:44:47 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","647","TC-014 Remove an item from the cart and verify cart state","chromium","Wed Mar 25 20:44:52 UTC 2026","passed","Wed Mar 25 20:44:52 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","522","TC-012 Add a single item and verify cart badge updates","chromium","Wed Mar 25 20:44:50 UTC 2026","passed","Wed Mar 25 20:44:51 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","1067","TC-007 Session persistence check","chromium","Wed Mar 25 20:44:49 UTC 2026","passed","Wed Mar 25 20:44:50 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","400","TC-005 Locked-out user behaviour","chromium","Wed Mar 25 20:44:48 UTC 2026","passed","Wed Mar 25 20:44:48 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","722","TC-001 Successful login with valid credentials","chromium","Wed Mar 25 20:44:45 UTC 2026","passed","Wed Mar 25 20:44:46 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","395","TC-003 Login failure with empty fields","chromium","Wed Mar 25 20:44:47 UTC 2026","passed","Wed Mar 25 20:44:47 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","523","TC-009 Sorting by Name A-Z and Z-A","chromium","Wed Mar 25 20:44:54 UTC 2026","passed","Wed Mar 25 20:44:54 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","675","TC-018 Verify order summary math for multiple items","chromium","Wed Mar 25 20:44:58 UTC 2026","passed","Wed Mar 25 20:44:59 UTC 2026","Checkout Flow Scenarios","checkout.spec.js","",""
"","933","TC-017 Checkout blocked when required fields are missing","chromium","Wed Mar 25 20:44:57 UTC 2026","passed","Wed Mar 25 20:44:58 UTC 2026","Checkout Flow Scenarios","checkout.spec.js","",""
"","503","TC-010 Sorting by Price Low-High and High-Low","chromium","Wed Mar 25 20:44:54 UTC 2026","passed","Wed Mar 25 20:44:55 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","507","TC-008 Product listing loads correctly","chromium","Wed Mar 25 20:44:53 UTC 2026","passed","Wed Mar 25 20:44:54 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","590","TC-020 Error user - Verify failing actions","chromium","Wed Mar 25 20:45:04 UTC 2026","passed","Wed Mar 25 20:45:05 UTC 2026","Performance & Resilience Scenarios","performance.spec.js","",""
"","1490","TC-011 Problem user visual regression - Detect broken images","chromium","Wed Mar 25 20:44:55 UTC 2026","passed","Wed Mar 25 20:44:56 UTC 2026","Product Catalog Scenarios","catalog.spec.js","",""
"","617","TC-013 Add multiple items and verify all appear in cart","chromium","Wed Mar 25 20:44:51 UTC 2026","passed","Wed Mar 25 20:44:52 UTC 2026","Shopping Cart Scenarios","cart.spec.js","",""
"","1384","TC-006 Logout behaviour","chromium","Wed Mar 25 20:44:48 UTC 2026","passed","Wed Mar 25 20:44:49 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","403","TC-004 Login failure with SQL injection attempt","chromium","Wed Mar 25 20:44:47 UTC 2026","passed","Wed Mar 25 20:44:47 UTC 2026","Authentication Scenarios","auth.spec.js","",""
"","755","TC-016 Complete a full purchase with valid details","chromium","Wed Mar 25 20:44:57 UTC 2026","passed","Wed Mar 25 20:44:57 UTC 2026","Checkout Flow Scenarios","checkout.spec.js","",""
"","5447","TC-019 Performance glitch user - Login with smart wait","chromium","Wed Mar 25 20:44:59 UTC 2026","passed","Wed Mar 25 20:45:04 UTC 2026","Performance & Resilience Scenarios","performance.spec.js","",""
